"Population","Treatment","KnockdownTime"
"Urban","LowTemp",51.9617547691812
"Urban","LowTemp",50.0571568147087
"Urban","LowTemp",44.4514880578437
"Urban","LowTemp",49.6017100642915
"Urban","LowTemp",46.403545446388
"Urban","LowTemp",46.0107755835938
"Urban","LowTemp",52.7494796870422
"Urban","LowTemp",49.5111350112198
"Urban","LowTemp",45.1936440649654
"Urban","LowTemp",47.4943751352136
"Urban","LowTemp",51.0858229451173
"Urban","LowTemp",49.0286436704273
"Urban","LowTemp",47.8103963463777
"Urban","LowTemp",47.8861861718615
"Urban","LowTemp",48.9134500408114
"Urban","LowTemp",50.4022905028321
"Urban","LowTemp",54.9180845105807
"Urban","LowTemp",45.80123783311
"Urban","LowTemp",59.0966282702103
"Urban","LowTemp",53.5952268091107
"Urban","LowTemp",50.1676382095672
"Urban","LowTemp",51.2432746653704
"Urban","LowTemp",47.2117724405088
"Urban","LowTemp",48.0279522063397
"Urban","LowTemp",49.897808392574
"Urban","LowTemp",43.2253882776304
"Urban","LowTemp",48.4287562297439
"Urban","LowTemp",53.5640844120349
"Urban","LowTemp",54.546860734202
"Urban","LowTemp",50.5500909156522
"Urban","HighTemp",51.7943359113071
"Urban","HighTemp",56.9522046066562
"Urban","HighTemp",56.2778695393979
"Urban","HighTemp",47.6983509047731
"Urban","HighTemp",52.3772692552615
"Urban","HighTemp",54.0203202831974
"Urban","HighTemp",52.3282355341138
"Urban","HighTemp",52.3284004585256
"Urban","HighTemp",51.5228131259848
"Urban","HighTemp",51.4006880742989
"Urban","HighTemp",51.475231760465
"Urban","HighTemp",50.9827673079237
"Urban","HighTemp",51.6210778086474
"Urban","HighTemp",54.9414016302199
"Urban","HighTemp",59.4226999601821
"Urban","HighTemp",50.3583006857154
"Urban","HighTemp",51.3644285927831
"Urban","HighTemp",50.5726345545776
"Urban","HighTemp",57.8161242827855
"Urban","HighTemp",49.1118508813009
"Urban","HighTemp",44.0968847874095
"Urban","HighTemp",52.8793364908535
"Urban","HighTemp",45.3057955632029
"Urban","HighTemp",47.7154700263439
"Urban","HighTemp",56.6288327025013
"Urban","HighTemp",55.4225731882817
"Urban","HighTemp",53.7695094632665
"Urban","HighTemp",45.2485581289221
"Urban","HighTemp",50.3281777869187
"Urban","HighTemp",46.7282235508794
"Rural","LowTemp",51.0426943588383
"Rural","LowTemp",45.9459050808775
"Rural","LowTemp",40.4809449655797
"Rural","LowTemp",50.4092372886467
"Rural","LowTemp",52.4429015304925
"Rural","LowTemp",45.9161206643129
"Rural","LowTemp",47.0419732695293
"Rural","LowTemp",48.5666169153281
"Rural","LowTemp",46.5000599171435
"Rural","LowTemp",51.3436830368485
"Rural","LowTemp",49.2761074017064
"Rural","LowTemp",43.9663843275196
"Rural","LowTemp",44.6531189049549
"Rural","LowTemp",48.154623721351
"Rural","LowTemp",50.2024191240196
"Rural","LowTemp",46.0394756206908
"Rural","LowTemp",46.6016817654936
"Rural","LowTemp",46.4730208364917
"Rural","LowTemp",42.8725920656291
"Rural","LowTemp",51.1793338401603
"Rural","LowTemp",48.7175032105641
"Rural","LowTemp",48.8821950209018
"Rural","LowTemp",38.3262806385629
"Rural","LowTemp",44.8869872400825
"Rural","LowTemp",50.065896452033
"Rural","LowTemp",49.9065649121303
"Rural","LowTemp",45.6820433584733
"Rural","LowTemp",46.1402695967198
"Rural","LowTemp",49.3351348401645
"Rural","LowTemp",48.8820363273862
"Rural","HighTemp",69.5082977775246
"Rural","HighTemp",70.6173433596271
"Rural","HighTemp",63.7079286384022
"Rural","HighTemp",66.4720441607181
"Rural","HighTemp",63.5944960266112
"Rural","HighTemp",65.533754113179
"Rural","HighTemp",61.2177166223316
"Rural","HighTemp",65.2701725238748
"Rural","HighTemp",67.6168910722176
"Rural","HighTemp",64.8592007994399
"Rural","HighTemp",65.7649304688081
"Rural","HighTemp",73.9595368821488
"Rural","HighTemp",61.43178166034
"Rural","HighTemp",66.7329760324226
"Rural","HighTemp",63.1672402863361
"Rural","HighTemp",70.2669021006769
"Rural","HighTemp",65.0236743320315
"Rural","HighTemp",65.2919679255133
"Rural","HighTemp",64.9039525663066
"Rural","HighTemp",68.966859614497
"Rural","HighTemp",65.2917340083413
"Rural","HighTemp",64.4302098054285
"Rural","HighTemp",61.2212703110239
"Rural","HighTemp",64.1770214929768
"Rural","HighTemp",67.0858230561214
"Rural","HighTemp",63.9988763451209
"Rural","HighTemp",64.3789950526148
"Rural","HighTemp",70.4757294491018
"Rural","HighTemp",64.7572550258236
"Rural","HighTemp",69.9081627957278
