"Population","Treatment","KnockdownTime"
"Urban","LowTemp",50.360417252223
"Urban","LowTemp",44.5628694494175
"Urban","LowTemp",50.4547489508886
"Urban","LowTemp",46.6423369863559
"Urban","LowTemp",50.0057246190485
"Urban","LowTemp",53.5655554829301
"Urban","LowTemp",48.4839684338453
"Urban","LowTemp",49.702296819626
"Urban","LowTemp",50.9160595972454
"Urban","LowTemp",50.5952291075659
"Urban","LowTemp",49.8532671491519
"Urban","LowTemp",47.4702986989792
"Urban","LowTemp",43.7741876881826
"Urban","LowTemp",48.9177105557875
"Urban","LowTemp",48.08693101745
"Urban","LowTemp",48.9011659107755
"Urban","LowTemp",57.0660916939905
"Urban","LowTemp",53.2801317048227
"Urban","LowTemp",50.8575230033142
"Urban","LowTemp",52.9809733320047
"Urban","LowTemp",45.4421841486777
"Urban","LowTemp",54.4913535472105
"Urban","LowTemp",52.4588459228089
"Urban","LowTemp",53.1981512332602
"Urban","LowTemp",52.2012677185164
"Urban","LowTemp",52.8810318749521
"Urban","LowTemp",47.9234570524587
"Urban","LowTemp",54.217995185515
"Urban","LowTemp",45.0993830391077
"Urban","LowTemp",50.7854929804455
"Urban","HighTemp",69.6942632447089
"Urban","HighTemp",65.943767910433
"Urban","HighTemp",62.1959449803777
"Urban","HighTemp",64.6245900786625
"Urban","HighTemp",63.4198590382899
"Urban","HighTemp",64.4997771251423
"Urban","HighTemp",64.0725305213606
"Urban","HighTemp",64.8366740814091
"Urban","HighTemp",66.4721231947054
"Urban","HighTemp",66.917123225779
"Urban","HighTemp",68.4527638752946
"Urban","HighTemp",64.1401222681203
"Urban","HighTemp",62.7637612370364
"Urban","HighTemp",67.7612818511938
"Urban","HighTemp",67.3441399510929
"Urban","HighTemp",66.8817104204399
"Urban","HighTemp",66.279678805694
"Urban","HighTemp",61.060834456141
"Urban","HighTemp",64.4961906929207
"Urban","HighTemp",60.4457590304258
"Urban","HighTemp",61.509910040012
"Urban","HighTemp",65.9796616696008
"Urban","HighTemp",61.9131889000403
"Urban","HighTemp",62.9521625176549
"Urban","HighTemp",64.5198619307384
"Urban","HighTemp",65.6677919721464
"Urban","HighTemp",66.583137603829
"Urban","HighTemp",60.7655668193583
"Urban","HighTemp",60.1007440865065
"Urban","HighTemp",63.5360517751808
"Rural","LowTemp",53.6962188400399
"Rural","LowTemp",49.1587252873181
"Rural","LowTemp",53.3148966097654
"Rural","LowTemp",50.5193204386317
"Rural","LowTemp",46.7974664321294
"Rural","LowTemp",48.8612982323586
"Rural","LowTemp",50.6561356881277
"Rural","LowTemp",49.4125675842543
"Rural","LowTemp",44.4437559562234
"Rural","LowTemp",50.1449106723258
"Rural","LowTemp",48.149437871088
"Rural","LowTemp",44.3326005056909
"Rural","LowTemp",46.677167607625
"Rural","LowTemp",49.1038857903651
"Rural","LowTemp",49.6317914637793
"Rural","LowTemp",50.2355285146699
"Rural","LowTemp",46.8352905231134
"Rural","LowTemp",51.7115845807764
"Rural","LowTemp",51.1110523697522
"Rural","LowTemp",47.2550703040636
"Rural","LowTemp",47.8184512319721
"Rural","LowTemp",48.9075589394434
"Rural","LowTemp",45.0828498071298
"Rural","LowTemp",43.528625335203
"Rural","LowTemp",56.1025303420065
"Rural","LowTemp",49.6457036316154
"Rural","LowTemp",48.4328265895133
"Rural","LowTemp",54.4212360324214
"Rural","LowTemp",51.6504449207146
"Rural","LowTemp",50.151244785342
"Rural","HighTemp",62.3314242401451
"Rural","HighTemp",65.0797714267347
"Rural","HighTemp",63.7437235633935
"Rural","HighTemp",59.9092499947501
"Rural","HighTemp",62.9264602342496
"Rural","HighTemp",61.7357957269024
"Rural","HighTemp",58.2158347073835
"Rural","HighTemp",66.2196451994048
"Rural","HighTemp",64.6991472270868
"Rural","HighTemp",66.9725553038937
"Rural","HighTemp",59.5854251437525
"Rural","HighTemp",62.0501318474153
"Rural","HighTemp",65.0870782414007
"Rural","HighTemp",67.7908129941084
"Rural","HighTemp",65.3470384957727
"Rural","HighTemp",68.5189365825088
"Rural","HighTemp",64.1708252843115
"Rural","HighTemp",66.761930408296
"Rural","HighTemp",64.1504464570298
"Rural","HighTemp",68.7900929470876
"Rural","HighTemp",64.5476053749396
"Rural","HighTemp",68.0322080866049
"Rural","HighTemp",69.2625896438127
"Rural","HighTemp",61.0033726985812
"Rural","HighTemp",59.2064407668258
"Rural","HighTemp",66.9201483713043
"Rural","HighTemp",64.3878026693887
"Rural","HighTemp",65.2703043527674
"Rural","HighTemp",65.6575060596299
"Rural","HighTemp",61.8097547909446
